hMOF,HVF,VSA_RASPA[m^2/cm^3],LCD（Å）,MOFs密度/[kg/m^3],K,Q
13115,0.80914,2209.895662,11.10663,703.7568192,4.88E-05,22.3281931
13116,0.53085,1257.570564,6.39054,1407.513638,0.489453,52.13140022
13117,0.80392,2042.186694,11.38409,667.0282224,2.00E-05,17.53140885
13118,0.52012,1257.017699,6.56514,1334.056445,0.484016,51.13667907
13119,0.89604,1297.757264,21.75309,362.1367119,2.62E-05,21.36896093
13120,0.79766,2563.283252,11.16267,724.2734238,8.76E-05,20.08529601
13121,0.8971,1357.730761,21.27706,375.7026019,2.90E-05,23.67309264
13122,0.79408,2581.489385,9.10729,751.4052038,0.000133063,23.033157
13123,0.54751,1418.421449,6.89341,1502.810408,0.688042,49.7351368
13124,0.77949,1773.041827,15.41873,773.8559055,0.00178043,36.53271143
13125,0.90185,1347.216607,21.54119,335.0052091,1.45E-05,19.43381975
13126,0.80229,2621.77651,11.15907,670.0104181,7.00E-05,18.61082251
13127,0.84655,1779.540601,14.67185,430.8094514,2.68E-05,20.84651018
13128,0.84096,1830.693063,14.46867,485.617036,0.000123011,25.21613228
13129,0.86581,1544.311139,18.8042,380.8371044,6.97E-05,24.53253186
13130,0.83243,1785.97035,14.15964,506.6577869,0.000192843,27.69166155
13131,0.84552,1795.712364,14.45511,458.1620462,6.47E-05,22.42073678
13132,0.86425,1527.802568,18.2365,492.8628337,5.79E-05,24.39748319
13133,0.7203,2247.409289,9.22387,985.7256674,0.0019093,29.45247838
13134,0.85125,1888.086765,14.76223,555.5607374,0.000115851,26.13553181
13135,0.82861,1944.199583,13.79461,699.0294659,0.000241261,29.47192512
13136,0.81699,1919.275096,13.12982,694.391938,6.33E-05,22.93173988
13137,0.58365,1410.04168,6.21167,1388.783876,0.185447,50.76655896
13138,0.84179,1860.804988,13.60149,638.8502579,0.000138667,26.59215339
13139,0.78982,2036.669616,12.10099,586.2406508,0.000619619,30.82734622
13140,0.79812,2044.021077,12.0984,577.6240676,0.000574912,30.70157347
13141,0.78318,2048.487613,12.11141,603.473834,0.000652281,31.68918619
13142,0.79088,2012.472764,11.6445,606.9437672,0.00399271,35.56763069
13143,0.78287,1973.329101,11.63877,672.9355225,0.0176858,43.39385946
13144,0.79507,2069.500077,11.86946,639.9396415,0.0079692,40.47896755
13145,0.78271,2184.349305,10.60616,793.7650992,0.00411005,37.89668796
13146,0.78162,2099.23716,10.7021,831.5534726,0.0126995,40.31457219
13147,0.84271,1769.122922,16.88806,551.3206443,0.000159963,27.95344717
13148,0.67116,2027.907576,7.97454,1102.641289,0.0268915,43.73626484
13149,0.77883,2005.460334,11.45819,907.1302216,0.0510059,46.3528039
13150,0.83005,1732.023613,16.63291,664.5265058,0.000493122,35.39771844
13151,0.63712,1963.983945,7.39049,1329.053012,0.0970508,50.18214317
13152,0.77037,2084.658651,12.1225,642.8104552,0.0406808,46.35484753
13153,0.77075,2096.640404,11.54378,668.6601696,0.0482103,45.25784439
13154,0.7796,2106.473091,10.72457,753.8846296,3.73035,59.56755484
13155,0.78066,2161.339394,10.27548,917.2951976,1.07723,54.42186856
13156,0.78194,2056.003318,11.95045,841.7184011,0.704836,56.45804032
13157,0.78541,2078.798907,10.30241,1106.237189,12.7451,64.12429938
13158,0.76944,2102.408076,10.31421,1106.23692,2.87643,59.98640365
13159,0.77596,1978.28597,11.31179,879.5068025,0.449071,52.89621904
13160,0.83948,1877.361563,13.79259,466.329827,0.00012577,26.14495154
13161,0.84244,1847.364464,13.5153,492.4342205,0.000395434,27.89072588
13162,0.86489,1612.365905,17.18532,401.6760707,0.0001672,26.9335759
13163,0.8033,1987.041655,11.78434,648.2576683,0.00467901,36.43147129
13164,0.82923,1948.31955,12.79709,656.6002562,0.000883788,32.11230828
13165,0.80692,2162.940847,10.48042,725.8945452,0.00100767,32.91230301
13166,0.82197,1846.575536,13.15559,710.774051,0.0012859,34.63973148
13167,0.81909,1928.732847,12.27327,683.7051345,0.000329409,29.16419068
13168,0.81399,1807.580222,13.51662,725.9767673,0.00179761,34.84335816
13169,0.56761,1381.024884,6.14995,1451.953535,14.3785,66.13973214
13170,0.86289,1670.294944,16.12646,430.4046043,0.000275649,29.48044192
13171,0.88433,1508.890062,19.04973,357.1167741,0.00011387,27.5048955
13172,0.83051,1851.027912,13.92943,737.9907753,0.000532682,30.87939242
13173,0.85689,1661.066657,16.20315,553.6263655,0.000178372,27.31102917
13174,0.85157,1696.966969,15.7508,596.4051313,0.000132924,26.00529911
13175,0.51661,1003.007658,6.01739,1789.215394,504.58,73.22163674
13176,0.87107,1555.36216,18.49985,481.8809928,4.33E-05,22.91302968
13177,0.73075,2399.409622,7.98398,963.7619855,0.00201048,30.5199149
13178,0.53257,1192.719369,6.46923,1445.642978,0.459533,50.22043393
13179,0.8569,1752.904284,15.38229,596.4051009,0.000168128,26.659594
13180,0.86057,1694.735579,15.31435,471.8150795,0.000529771,28.73343268
13181,0.84697,1724.451855,15.50442,463.4429269,0.000479059,27.62715258
13182,0.85774,1692.295782,14.90407,586.5459127,0.000319477,28.95026676
13183,0.69127,1893.321169,8.85467,1173.091825,0.229327,47.17047665
13184,0.84633,1790.337361,13.29349,627.6996501,0.00023585,28.38830376
13185,0.65463,1717.876275,7.40983,1255.3993,0.263991,50.69277956
13186,0.8579,1750.220521,14.89952,566.0466264,0.00067159,34.41191613
13187,0.77736,2270.379329,8.90645,1044.025584,0.00819127,35.58733296
13188,0.65117,1203.033268,6.60825,2088.051169,53967.2,78.27145013
13189,0.86815,1758.185373,14.85874,504.3936027,0.000291301,29.10578721
13190,0.8638,1809.55998,13.67321,387.5070366,2.04E-06,8.587677106
13191,0.87001,1814.504611,13.59468,372.9806242,2.33E-06,8.490821989
13192,0.87545,1615.902714,17.74452,359.3990879,1.05E-05,17.24887178
13193,0.72918,2294.047557,9.20825,718.7981758,0.000515317,24.71844345
13194,0.87763,1635.019292,17.75833,368.4745477,1.38E-05,18.9393478
13195,0.72571,2262.350716,9.24531,736.9490955,0.000696392,26.31386158
13196,0.8658,1826.903677,13.25453,392.9108542,3.06E-06,9.77903653
13197,0.86649,1851.032618,12.81829,392.9106612,2.79E-06,7.786899314
13198,0.85533,1899.21407,12.87259,478.6025629,3.13E-06,10.16959926
13199,0.67231,1964.021962,7.24869,957.2051258,0.00410765,32.08830824
13200,0.86436,1865.197849,12.93503,446.7497051,3.27E-06,9.424428241
13201,0.86848,1824.77261,13.55454,414.8968443,2.43E-06,8.400069758
13202,0.85235,1926.268532,12.03147,510.4553966,4.80E-06,12.22607455
13203,0.65854,1894.870178,7.39524,1020.910793,0.00634165,33.80947527
13204,0.17935,0,3.76901,2041.821586,3.20E-34,-138.9403455
13205,0.86455,1619.536641,17.90058,485.5926218,1.07E-05,18.03416983
13206,0.71223,2246.259579,9.15504,971.1852436,0.000639762,26.77401104
13207,0.85971,1803.673037,15.99338,424.1856009,9.22E-07,3.193397108
13208,0.40028,652.608471,5.41991,1272.556803,2.84E-06,38.19386901
13209,0.30011,307.434884,4.06605,1696.742404,1.12E-10,21.45373325
13210,0.79452,2966.087214,8.58686,568.6426199,5.08E-05,16.79682383
13211,0.89716,1478.520223,17.13995,288.0972582,1.70E-06,7.98618901
13212,0.7941,2895.167411,8.57847,576.1945164,8.91E-05,18.29066861
13213,0.79753,2919.645642,8.58108,576.1944995,0.000090639,18.98541421
13214,0.90381,1451.056916,20.11824,273.8011336,5.41E-07,2.152083676
13215,0.81041,2896.73635,7.60066,547.6022672,0.000029872,12.9069477
13216,0.62279,2012.383883,7.73808,821.4034008,0.000340526,26.97420808
13217,0.4903,1269.646997,5.48326,1095.204534,0.00562389,43.79814604
13218,0.89365,1433.91874,19.22703,305.7157427,7.03E-06,16.66791968
13219,0.78232,2424.199395,9.9887,611.4314853,0.000115745,19.33418066
13220,0.8933,1518.470456,16.55384,347.9738264,2.30E-06,11.82642458
13221,0.78338,2705.897631,8.59348,695.9476528,0.000112477,19.72853194
13222,0.4592,811.575682,5.67582,1391.895306,0.0340557,50.47077471
13223,0.88721,1564.191235,15.28461,392.4878205,2.73E-06,12.37257657
13224,0.76806,2575.723426,8.58578,784.9756411,0.00015577,21.48535896
13225,0.6365,2011.835033,6.88569,1177.463462,0.0099,36.0134313
13226,0.88558,1474.603214,18.75977,428.5780494,1.88E-05,22.3647564
13227,0.76154,2508.995271,9.98947,857.1560989,0.000178384,24.21302994
13228,0.60331,1668.255228,6.62447,1285.734148,0.0707997,46.91836419
13229,0.89536,1504.038686,16.56393,325.716577,1.61E-06,8.484280155
13230,0.78533,2832.278293,8.58834,651.433154,8.94E-05,18.7421909
13231,0.4772,1033.330807,5.66397,1302.866308,0.0492676,51.16734332
13232,0.88572,1471.260586,18.68138,393.8254798,7.95E-06,17.96073148
13233,0.77383,2454.89758,10.00816,787.6509596,0.00013798,21.96548063
13234,0.90208,1449.439441,20.13081,273.8011002,5.41E-07,2.212654889
13235,0.80703,2901.982802,7.60032,547.6022005,2.88E-05,12.93067817
13236,0.48763,1270.114072,5.48161,1095.204401,0.00587579,44.2012365
13237,0.88549,1476.201145,19.24368,324.3902462,1.26E-05,19.51092299
13238,0.88351,1671.616168,16.06625,339.5031487,5.19E-06,13.74983945
13239,0.87737,1678.509428,15.77826,349.8685809,5.27E-06,14.44864531
13240,0.74282,2579.436166,8.18976,699.7371618,0.000565818,25.55278311
13241,0.8828,1699.223179,15.62627,339.5054796,3.29E-06,10.27675862
13242,0.87654,1774.259273,15.47705,367.0576999,1.31E-06,7.040053938
13243,0.74319,2823.77129,7.45275,734.1153999,0.000277945,23.62457936
13244,0.46548,1249.044023,6.64527,1101.1731,0.00386821,39.59701815
13245,0.39427,876.142969,5.31191,1468.2308,1.00079,65.87490993
13246,0.87437,1709.999787,15.33967,419.7325915,3.39E-06,12.86937603
13247,0.73396,2443.024132,8.18138,839.4651829,0.000530821,25.80647942
13248,0.88215,1587.143017,18.04993,407.646742,7.60E-06,15.82299758
13249,0.75194,2514.979832,10.00554,815.2934839,0.000173139,22.6837281
13250,0.61752,1675.735718,7.12959,1222.940226,0.0791536,44.48813782
13251,0.86282,1772.196913,14.93059,490.934772,5.44E-06,15.52958061
13252,0.70243,2260.73475,8.02818,981.869544,0.00101834,28.67240664
13253,0.32894,248.720927,4.92735,1963.739088,0.000197111,52.35743449
13254,0.89117,1573.045415,18.6739,371.7305549,6.95E-06,15.69062808
13255,0.7668,2561.231144,9.38425,743.4611098,0.000181762,22.01628562
13256,0.33127,234.299961,4.78788,1261.54669,3.25E-07,40.83049026
13257,0.10236,0,3.60844,1790.642628,1.95E-78,-395.479895
13258,0.73853,1851.585773,12.02744,640.7445925,2.28E-05,21.49557848
13259,0.68821,1780.83061,10.76161,869.1644384,0.000633757,38.44775084
13260,0.24565,215.148591,4.89821,1738.328877,3.90E-05,52.47205613
13261,0.71754,1789.24168,11.71805,768.3829422,0.000917627,41.29327251
13262,0.29603,289.232582,4.95238,1536.765884,0.00518604,65.97273835
13263,0.02185,0,2.98192,2305.148827,0,#NAME?
13264,0.71352,1756.034124,11.72524,801.976846,0.00074736,35.97276476
13265,0.03131,0,3.00223,2405.930538,0,#NAME?
13266,0.74421,1810.103764,12.6062,634.0075427,7.31E-05,24.77767576
13267,0.6785,1846.99613,10.05038,1213.825869,0.000197102,29.10042784
13268,0.29757,281.393231,5.276,2427.651738,0.150438,68.89495872
13269,0.82783,1661.587408,17.37393,642.4711818,2.06E-05,20.44135394
13270,0.61356,1894.21992,7.00628,1284.942364,0.0249105,41.1755927
13271,0.71595,1726.592797,12.6062,982.9867474,0.000823128,36.32302094
13272,0.33838,480.456953,5.82045,1965.973495,149.051,77.43961254
13273,0.67782,1841.367264,10.50576,1175.352739,0.000235295,34.74396161
13274,0.26347,251.416548,4.62672,2350.705478,0.0486561,66.74364577
13275,0.74296,1787.004863,12.60432,829.0938862,7.54E-05,26.52708772
13276,0.39336,656.509543,5.69776,1658.187772,9.89383,66.62437241
13277,0.85835,1775.883841,18.60499,414.2454653,4.98E-05,27.08616808
13278,0.87787,1595.250509,19.63683,353.5560387,4.04E-05,22.62629563
13279,0.75137,2821.590241,9.39372,707.1120773,0.000579732,26.42779968
13280,0.88389,1470.545124,20.68226,378.7403303,0.000015379,19.92003561
13281,0.76601,2778.211332,9.33953,757.4806607,0.000223213,21.90943672
13282,0.85533,1783.112822,17.70442,540.1328282,1.86E-05,20.98975089
13283,0.6908,2225.26217,8.93849,1080.265656,0.00142718,29.83004164
13284,0.85684,1799.242092,17.59777,521.3571693,3.15E-05,23.87474034
13285,0.68542,2233.437923,9.06593,1042.714339,0.00139019,30.44240444
13286,0.84473,1771.242832,18.29848,615.2352294,0.000029617,25.04805256
13287,0.65194,2047.007873,7.56559,1230.470459,0.00300484,36.00621929
13288,0.32582,387.200942,5.47407,1845.705688,0.00138128,54.738892
13289,0.74593,2037.615016,10.68637,650.1202775,7.91E-05,24.39850905
13290,0.73096,1847.546765,12.53807,667.0530572,1.48E-05,18.64135371
13291,0.84129,1664.548478,17.91221,422.3201114,8.14E-05,25.92592508
13292,0.83268,1722.939695,16.88011,574.4916544,4.76E-05,28.10302802
13293,0.63255,1925.579095,8.62898,1148.983309,0.0123231,38.24147637
13294,0.71825,1931.792895,11.23889,984.9880993,0.000250395,33.37574003
13295,0.37529,584.988233,5.78642,1969.976199,100.207,76.41234705
13296,0.72071,1968.661977,11.24246,868.635522,1.68E-05,19.39953586
13297,0.33389,337.472251,4.70113,1737.271044,0.000088397,48.03297279
13298,0.73032,2011.807693,10.47603,829.8511259,2.34E-05,22.42916747
13299,0.36843,581.370381,5.52379,1659.702252,0.0492265,57.98737229
13300,0.73362,1892.545548,11.48106,829.8512473,5.00E-05,26.05902442
13301,0.85319,1884.684535,17.10704,521.4018039,1.58E-05,21.31979455
13302,0.68624,2347.75802,7.94027,1042.803608,0.000762399,29.24674293
13303,0.54583,1290.703916,6.20503,1564.205412,1.46651,55.65977604
13304,0.8704,1738.152385,17.1196,445.8759464,1.42E-05,17.97045165
13305,0.72715,2508.382871,8.94898,891.7518927,0.000588326,27.3674267
13306,0.87649,1775.171944,18.31084,426.9944274,1.56E-05,21.5776656
13307,0.73904,2640.863177,8.41237,853.9888548,0.000643893,26.89462743
13308,0.87738,1529.294622,19.47598,426.592885,2.48E-05,22.54144898
13309,0.7545,2806.303468,10.15339,853.1857701,0.000322806,24.67409776
13310,0.89782,1451.993292,19.03556,351.8694181,3.03E-05,20.52015071
13311,0.8939,1522.364335,17.39891,387.8832538,5.99E-05,23.22717264
13312,0.77742,2337.361007,8.40975,775.7665076,0.00775447,32.67562345
13313,0.88842,1531.792968,18.89865,460.6139868,4.89E-05,24.1391545
13314,0.7758,2557.46061,9.89663,921.2279736,0.00124891,28.01573515
13315,0.88765,1449.137539,20.34065,439.0943544,3.56E-05,21.5599574
13316,0.77361,2618.189117,8.91802,878.1887087,0.000443823,25.41729072
13317,0.87614,1521.326394,18.20759,484.010764,4.39E-05,23.32339444
13318,0.74836,2392.876869,9.35575,968.021528,0.00494384,33.68844363
13319,0.88686,1410.517336,19.96522,408.8127082,3.93E-05,27.00568892
13320,0.77334,2566.522254,10.46382,817.6254165,0.000309877,24.69235967
13321,0.89613,1377.840212,20.35111,363.406538,1.81E-05,20.08154486
13322,0.79242,2654.989195,8.86224,726.8130761,0.000170519,20.84604722
13323,0.89073,1319.240773,21.74297,313.5982515,0.000010363,17.17646812
13324,0.78371,2612.527133,8.34255,627.196503,0.00011696,19.3889206
13325,0.6008,1704.815498,7.73519,940.7947545,0.0143428,38.76487416
13326,0.88929,1312.517192,21.50635,389.2685136,7.14E-06,17.0834937
13327,0.78002,2592.76797,8.44767,778.5370271,6.74E-05,17.78530697
13328,0.59419,1496.578724,8.11872,1167.805541,0.0032153,33.80108975
13329,0.89105,1284.477568,21.66016,389.2684473,3.73E-05,24.67430455
13330,0.78615,2568.621826,11.15734,778.5368945,0.000115947,21.7119229
13331,0.59647,1556.21598,7.98423,1167.805342,33.5423,71.04440015
13332,0.89722,1324.715823,21.32802,362.1368411,1.54E-05,21.17234183
13333,0.79301,2615.723556,8.70579,724.2736822,7.72E-05,19.8204017
13334,0.89746,1323.637301,21.69835,362.1367147,0.000026343,22.53941654
13335,0.79426,2575.923964,11.15595,724.2734294,9.30E-05,21.36436556
13336,0.80905,2666.652873,11.15858,642.8783936,7.73E-05,20.57005867
13337,0.88918,1597.957733,18.88952,403.0694513,0.000151612,23.52579026
13338,0.82734,2117.516614,10.93001,564.9480038,0.000122478,22.40899127
13339,0.82463,2111.15727,10.42246,592.3537053,0.000190748,23.05505498
13340,0.88704,1644.798217,18.66297,474.5748768,5.45E-05,18.72814824
13341,0.88966,1659.63893,18.61961,490.1945127,7.06E-05,20.35496395
13342,0.76199,2135.928791,10.25404,980.3890255,0.194097,52.24548342
13343,0.82359,2168.995879,9.84931,786.870777,0.000328336,25.87484137
13344,0.83599,2152.646046,10.25054,661.3260159,0.000116391,22.36149932
13345,0.73413,2095.546948,9.96863,930.7333367,0.000369948,26.42544276
13346,0.88965,1556.625807,15.89513,395.0679372,4.77E-05,20.54678526
13347,0.87911,1591.451667,15.28814,490.57744,3.09E-05,19.91869551
13348,0.72561,2092.444911,8.9723,981.15488,0.0499488,46.70128098
13349,0.90382,1350.181985,20.52579,459.1952063,8.44E-05,26.30277953
13350,0.79776,2148.920675,11.96087,918.3904125,0.0138004,42.9015166
13351,0.88253,1589.116331,15.54304,508.0983014,8.14E-05,26.06640626
13352,0.88359,1619.340447,14.68532,543.1400643,3.93E-05,21.10433942
13353,0.73115,2079.915014,8.1981,1086.280129,0.141782,52.44122296
13354,0.87389,1571.798616,14.72956,525.6191958,3.02E-05,20.54244961
13355,0.7097,2059.825126,8.17266,1051.238392,0.0909805,50.27392753
13356,0.81241,2333.84246,9.79436,604.9382092,0.000525564,26.76069588
13357,0.8215,2444.537529,9.59799,565.9509999,0.000243929,22.98268937
13358,0.90542,1289.738265,20.86833,378.7272938,2.71E-05,20.4729181
13359,0.81106,2385.474974,10.34658,757.4545876,0.000253387,24.70598562
13360,0.90338,1298.188486,21.09086,401.0522455,2.62E-05,19.94659279
13361,0.80933,2402.955257,9.62413,802.1044909,0.000431542,26.76407992
13362,0.66243,1793.495414,7.97209,1203.156736,0.287514,54.43628024
13363,0.9132,1323.384802,20.32077,345.2398662,3.07E-05,20.17274895
13364,0.82579,2423.880597,10.15252,690.4797325,0.000317775,24.93384743
13365,0.90911,1242.600356,21.91998,345.2396155,1.77E-05,19.78431811
13366,0.82135,2468.377494,9.95306,690.479231,0.000210928,21.90120955
13367,0.85364,2239.807821,13.32086,620.6044442,0.000186581,25.01118417
13368,0.7952,2108.013388,10.33864,654.1784167,0.000641559,30.57870886
13369,0.81261,2087.178043,10.41418,682.0421923,0.000532271,30.43684958
13370,0.80165,2117.002363,10.39383,807.5871166,0.00063868,30.46251947
13371,0.87705,1632.538258,18.63494,589.0652863,0.000255779,26.48296466
13372,0.74383,2004.071311,10.3764,1178.130573,0.603828,56.76486665
13373,0.77444,2094.80944,10.41559,838.9733518,0.000298872,29.35389127
13374,0.80296,2158.248261,10.15402,807.5871361,0.00111169,33.79587781
13375,0.82082,2621.365245,8.59795,683.1703483,0.002137,31.16355419
13376,0.81338,2627.358754,9.41692,808.9403926,0.00132053,29.21306216
13377,0.82651,2568.317211,8.90106,727.0242627,0.000635309,26.38359091
13378,0.82373,2595.570886,9.43403,727.0244329,0.000786436,27.40461209
13379,0.8764,1854.079882,18.05645,566.0402116,0.000646193,29.63480174
13380,0.8844,1768.920176,18.79134,458.9827943,0.000181966,23.33478206
