hMOF,HVF,VSA_RASPA[m^2/cm^3],LCD（Å）,MOFs密度/[kg/m^3],K,Q
1,0.74966,2138.141024,10.43234,701.6762426,4.15E-05,17.96363322
2,0.74874,2105.92573,10.80515,701.6762634,6.34E-05,20.78084768
3,0.73223,2075.52409,10.71551,744.8194658,6.29E-05,21.25965483
4,0.75624,2118.743533,10.71779,687.2951939,6.16E-05,20.61805122
5,0.71966,2034.862694,10.23685,808.1350594,0.000529247,27.47702109
6,0.75249,2093.927265,10.42155,725.5299646,0.000199467,23.26771626
7,0.70988,2033.466607,9.95778,835.6701397,0.00078369,28.8895868
8,0.74647,2118.162629,10.2617,725.5299526,0.000205509,24.51330872
9,0.73261,2098.004501,9.48743,808.1350488,0.000436837,26.33023787
10,0.14201,0,3.24714,2424.405147,3.27E-142,#NAME?
11,0.74461,2144.419142,10.02692,867.6646761,0.000160404,23.48068194
12,0.28842,41.976425,4.13134,1735.329352,5.72E-13,8.512244872
13,0.14373,0,3.24714,2602.994028,7.63E-133,-702.7509527
14,0.71797,2090.968817,10.0277,930.733422,0.00025473,25.13322251
15,0.26639,244.545144,4.74592,1861.466844,0.91449,74.8894649
16,0.75225,2158.265656,9.68843,804.5959562,0.000119684,22.40871648
17,0.72702,2123.582761,9.4073,930.7333945,0.000251757,25.3653427
18,0.7065,2082.232925,9.73538,993.8021707,0.000197797,24.3258676
19,0.23175,7.101434,3.9061,1987.604341,4.68E-29,-106.2271989
20,0.71762,2113.741044,9.90543,695.3591869,0.000250787,24.27619537
21,0.83234,1877.51806,14.17634,483.6990463,0.000023395,18.63786159
22,0.80591,2054.429243,11.35017,558.9629467,0.000037364,18.8262927
23,0.79013,2076.06714,10.80008,612.6874687,3.34E-05,18.36052637
24,0.79595,2069.633209,10.99463,591.1974564,3.37E-05,17.58250698
25,0.80188,2123.723477,10.367,628.6757786,0.000118713,21.32401234
26,0.79577,2097.308451,10.64881,649.2485607,0.000213274,24.36209783
27,0.8028,2113.320778,10.76969,608.1029267,0.000145779,22.89174287
28,0.80238,2112.031074,10.55576,649.2480032,0.00026119,26.11709867
29,0.77991,2045.413695,11.18202,649.2486583,0.000179129,24.35988046
30,0.79758,1871.025385,13.03588,763.5190275,0.000156786,25.65069388
31,0.49786,904.179312,6.85954,1527.038055,10.3403,59.04006209
32,0.75193,2099.463503,9.7435,929.3356249,0.00026087,28.45324048
33,0.37505,287.165283,4.70788,1858.67125,2.78E-05,48.38698695
34,0.24126,0,3.53902,2788.006875,3.70E-48,-198.4396846
35,0.80148,2181.543614,10.05603,740.8480741,0.000102952,21.31996408
36,0.76045,2035.416947,10.52592,929.3356249,0.000170938,25.03660979
37,0.78295,2117.795,10.22167,787.970002,9.56E-05,21.3872527
38,0.76524,2099.982955,10.28865,609.7998915,0.000197298,23.33840338
39,0.86728,1694.448102,16.27032,404.7622543,9.87E-06,14.76030368
40,0.86006,1687.529813,16.34147,416.7585392,1.03E-05,16.49169689
41,0.86791,1680.873785,16.38348,392.7659854,1.08E-05,14.6700657
42,0.84899,1725.862562,15.33222,482.0826456,5.24E-05,22.71469077
43,0.64738,1939.935315,6.19433,964.1652913,0.371836,49.76109677
44,0.85871,1703.456662,15.38454,482.0825342,4.93E-05,21.14815257
45,0.86646,1757.471297,16.00882,470.598463,7.91E-05,23.19219967
46,0.85593,1692.713078,15.71987,459.1137137,3.88E-05,20.4871896
47,0.86553,1742.458478,16.02593,459.1137287,0.000136467,27.87867333
48,0.85654,1732.131845,15.08118,648.4452435,7.87E-05,25.60772123
49,0.66155,1952.832932,6.67827,1296.890487,0.387273,50.47530211
50,0.84842,1693.803861,15.90392,569.5300588,3.55E-05,20.37375901
51,0.65351,1707.618789,7.9639,1139.060118,0.169423,44.98305787
52,0.8577,1725.513836,15.40684,516.9199757,2.67E-05,20.20090604
53,0.86615,1777.092009,14.97776,701.0552319,9.59E-05,25.27612067
54,0.67598,1774.304484,6.68617,1402.110464,1.56018,54.65354338
55,0.84405,1731.23743,15.39474,648.4452193,3.56E-05,20.63911579
56,0.64582,1953.489451,6.07382,1296.890439,0.380942,52.68197085
57,0.81103,2079.158826,11.59105,525.3130982,3.09E-05,18.67158505
58,0.53314,1288.64253,6.36244,1050.626196,0.235721,48.20736047
59,0.82198,2083.607356,11.83094,499.584058,3.62E-05,19.06895402
60,0.79716,2582.823722,9.38254,556.1728429,4.40E-05,15.8187827
61,0.79684,2067.90208,11.47786,551.0422029,2.00E-05,16.3728366
62,0.51215,1208.76917,5.98365,1102.084406,0.123795,48.2450826
63,0.81515,2066.044217,11.98116,516.7368341,4.17E-05,19.9732243
64,0.81043,2138.413767,11.07865,570.9167489,0.000157475,25.39519094
65,0.78183,2104.50369,10.9225,653.0204484,0.000425003,29.62841146
66,0.48499,1024.83915,6.02351,1306.040897,28.5317,62.95799345
67,0.80278,2066.399977,11.36679,554.4957927,0.000104652,21.6366169
68,0.89526,1419.868897,21.90124,324.7339036,5.67E-05,25.40748242
69,0.79468,2601.468541,8.88503,649.4678072,0.000523903,25.11595521
70,0.47671,1040.092791,6.43428,1298.935614,84.5902,66.85731141
71,0.77885,2181.543428,11.11565,815.6682551,0.00013812,26.29775992
72,0.49545,1034.68269,5.86632,1631.33651,8.27215,64.69190909
73,0.25927,26.725386,4.06408,2447.004765,8.31E-20,-56.26262688
74,0.79482,2163.982573,11.24944,778.0556,0.000148185,26.11071515
75,0.50311,1104.774584,5.94941,1556.1112,16.155,62.2475363
76,0.81893,2116.896583,11.7988,589.9971162,7.52E-05,22.45378126
77,0.78024,2192.523353,10.67985,815.6682551,8.72E-05,23.24338698
78,0.49441,1037.66815,5.9206,1631.33651,9.78036,64.56251341
79,0.80199,2184.291351,10.60366,702.8326547,7.44E-05,20.9311758
80,0.49417,1124.747811,6.0829,1405.665309,4.77309,59.02282622
81,0.87719,1598.123407,17.24846,352.9004016,0.000011716,15.72030268
82,0.86925,1561.851484,17.27319,372.0508339,0.000014776,19.40260143
83,0.87164,1630.715755,16.32692,386.7075957,3.12E-05,20.39635641
84,0.86649,1654.475537,16.0751,423.3743878,8.73E-05,25.55564164
85,0.71416,2119.981745,8.85795,846.7487756,0.0196501,37.31665165
86,0.87826,1648.532535,16.76578,414.2076955,8.66E-05,23.88061217
87,0.87029,1592.530609,16.90287,405.0410732,0.000091501,28.71406629
88,0.87915,1628.392432,16.84931,395.8742855,0.000064205,25.2010787
89,0.85737,1655.382134,16.31204,663.8059134,0.000105515,27.65315189
90,0.69646,2046.579256,7.03611,1327.611827,0.091468,45.05396401
91,0.47645,971.305475,6.15668,1991.41774,138.397,69.83923389
92,0.86692,1678.277757,16.49547,537.8286837,6.29E-05,25.70322697
93,0.7102,2146.976201,8.85795,1075.657367,0.0153309,39.32080487
94,0.87515,1738.405222,16.42015,579.8211439,0.000122099,26.97002742
95,0.7256,2199.060491,8.54048,1159.642288,0.0316137,42.98118645
96,0.47551,811.664077,6.21184,1739.463432,53.9692,63.88985869
97,0.8706,1743.64023,15.63971,621.8136257,7.90E-05,25.09062143
98,0.72,2119.188851,7.70622,1243.627251,0.030403,40.49217807
99,0.49851,897.642931,5.64736,1865.440877,540.315,77.99991421
100,0.86188,1706.04379,16.32001,579.8211596,3.75E-05,23.04059115
101,0.70096,2149.334771,7.92169,1159.642319,0.023967,41.70917626
102,0.47665,861.074895,6.03306,1739.463479,76.685,73.42380315
103,0.80244,2546.105046,11.25485,543.97229,0.000048922,16.38801401
104,0.80462,2530.33827,11.23646,537.872067,5.11E-05,16.15521391
105,0.89769,1371.904733,21.93718,301.3736527,3.64E-05,20.46026718
106,0.79969,2623.840129,11.04913,602.7473055,0.000313994,21.94444386
107,0.89317,1368.046126,21.99617,330.5739448,2.46E-05,20.09518811
108,0.78225,2672.503612,8.30735,661.1478896,0.000451475,23.95551012
109,0.49051,1067.2563,6.32861,1322.295779,63.4668,70.62706851
110,0.89701,1414.741615,21.92834,318.8939697,3.34E-05,20.63234473
111,0.79721,2699.83469,9.13742,637.7879395,0.000407301,24.14619474
112,0.49628,1114.325178,5.97102,1275.575879,54.7035,68.14970949
113,0.89547,1370.880329,22.13233,313.0537715,0.000064545,26.64700562
114,0.79464,2635.182595,11.15935,626.107543,0.000400121,24.52208475
115,0.88961,1477.18321,21.44749,475.4646878,4.78E-05,26.40436457
116,0.77668,2640.700998,8.54843,950.9293757,0.000543356,26.35615475
117,0.59015,1375.879274,6.93713,1426.394063,0.144859,47.66663106
118,0.48287,761.804064,5.69282,1901.858751,137.557,76.21570907
119,0.8818,1457.709686,21.65252,488.8415288,1.64E-05,20.76095853
120,0.76318,2776.689496,8.01215,977.6830575,0.000444349,26.95623946
121,0.52818,1143.31433,8.12277,1466.524586,0.82515,55.87343108
122,0.43931,878.311515,5.93578,1955.366115,78.9756,74.94767923
123,0.89266,1366.454402,22.06108,408.5817866,3.36E-05,23.18247697
124,0.78351,2563.600677,11.07153,817.1635732,0.000298645,23.5428507
125,0.60127,1557.432279,7.54636,1225.74536,0.115448,48.81205221
126,0.49649,1012.495967,6.59305,1634.327146,34.4994,68.62545151
127,0.90038,1420.380133,21.54805,395.2062086,2.47E-05,21.74573647
128,0.79728,2573.99754,9.31091,790.4124172,0.000244477,22.38234089
129,0.8814,1439.727369,21.43886,515.5946358,9.94E-05,29.92485378
130,0.76173,2510.19468,10.78902,1031.189272,0.0006626,27.4356059
131,0.54622,1261.420212,7.10782,1546.783907,0.255194,51.29582914
132,0.45495,811.62509,5.66767,2062.378543,148.215,76.36225022
133,0.71259,2100.961047,9.75667,751.2523444,6.25E-05,20.18108847
134,0.12039,0,3.24341,2253.757033,1.31E-128,-714.5099386
135,0.73104,2099.903915,10.08928,736.8712707,0.000123286,23.77789791
136,0.69389,2009.223761,9.70803,800.8284371,0.000302147,27.45593753
137,0.70222,2040.426913,9.48766,828.9490076,0.000582221,28.06391317
138,0.70803,2085.79771,9.9165,801.4139696,0.000332626,26.07213393
139,0.71325,2101.006649,9.29153,801.4139488,0.000439818,26.57766182
140,0.69167,2065.111019,9.21485,856.4840411,0.000809136,30.8310902
141,0.17007,0.176377,3.83831,1712.968082,2.35E-46,-207.6072033
142,0.68573,1915.276354,9.52509,843.0418463,0.00205582,32.22165084
143,0.7315,2070.400638,10.1385,825.4099172,0.000322357,25.50423768
144,0.68274,2075.61492,8.91479,1077.684793,0.000577759,29.76656908
145,0.69016,2041.368734,9.49379,1014.61606,0.000995343,31.38452167
146,0.64951,1906.029687,8.9395,1161.567444,0.00211252,33.53575973
147,0.6908,2089.545376,8.74919,1014.616035,0.000457476,28.73187092
148,0.81946,1873.712914,14.2246,511.3741675,2.67E-05,19.56277857
149,0.81708,1866.818841,13.95694,527.4301859,5.05E-05,22.91257642
150,0.81783,1893.552311,13.96411,519.4021783,2.96E-05,18.9724674
151,0.74822,2004.20232,10.47983,742.0687549,0.00127083,32.68405735
152,0.76495,2023.494913,10.53541,680.3502929,0.000888924,31.82625232
153,0.75464,2032.149489,10.04006,742.0687491,0.000931009,32.97654177
154,0.81646,1900.298182,13.31343,607.5181129,0.000309126,28.39661179
155,0.86408,1699.837965,16.00683,459.1137303,6.52E-05,22.42115907
156,0.79456,1906.525926,12.97359,810.3445465,0.000319715,28.838819
157,0.51041,921.539373,6.84734,1620.689093,52.9078,66.71752191
158,0.79515,1926.576239,12.8707,880.7588203,0.000323162,28.89156905
159,0.49941,765.644593,6.85176,1761.517641,93.6342,67.69218887
160,0.79696,1930.643491,12.79227,845.551692,0.00025364,30.04853464
161,0.77437,1918.31572,12.8395,915.9659081,0.000252801,29.68961205
162,0.46197,778.759115,5.25421,1831.931816,7.32616,70.80625389
163,0.79864,1929.304802,12.96751,739.9302396,0.000112615,25.0010991
164,0.84541,1773.812612,17.34869,459.6938614,0.000231816,28.97360108
165,0.8472,1750.212114,17.3774,430.3152741,0.000110802,25.19694051
166,0.80388,2543.686248,10.9171,579.3871847,0.000300107,22.27053276
167,0.84993,1754.395563,16.92452,440.1082223,0.000200107,28.51783693
168,0.76706,2074.856018,11.33498,661.4259586,0.000863143,35.22580868
169,0.84003,1747.062237,18.11178,604.3958383,0.000283265,31.00252754
170,0.69289,1973.910729,9.0565,1208.791677,0.0462265,42.37424426
171,0.83475,1816.226275,16.81665,671.6864894,0.000210852,30.82009566
172,0.67228,1988.431736,7.95674,1343.372979,0.111398,45.58226802
173,0.82111,1805.464363,16.61447,738.977884,0.000242512,31.34505661
174,0.61539,1605.773933,8.7776,1477.955768,0.0873771,46.60605175
175,0.83295,1855.378844,16.6952,671.6868161,0.000221924,29.38392229
176,0.67106,1857.815253,8.81506,1343.373632,0.107546,43.27448159
177,0.82797,1764.174072,16.55099,671.6866791,0.000311535,32.59106434
178,0.58984,1422.977996,8.82711,1343.373358,0.0258475,42.10098658
179,0.67081,1945.102518,9.38462,836.0234341,0.000605127,29.55512282
180,0.65107,1869.265464,9.24008,898.1118973,0.00524857,36.94356989
181,0.66072,1887.898053,8.87772,925.6469442,0.00878497,39.71324724
182,0.68748,1966.443473,8.96618,870.5768771,0.00347414,34.3916776
183,0.63358,1784.908785,9.04587,953.1819954,0.00919408,38.62663119
184,0.64014,1873.750462,8.46655,1182.381384,0.00794157,38.42575646
185,0.65712,1900.717632,8.54835,1119.311572,0.00322826,38.38826667
186,0.63152,1802.488897,8.6836,1245.450088,0.0131218,41.08503535
187,0.61178,1663.210162,8.68856,1434.656221,0.0221569,43.87625182
188,0.63103,1865.310249,8.49667,1245.450104,0.00408461,37.56905131
189,0.74392,2252.330379,9.83046,754.0069935,5.21E-05,19.21555918
190,0.75898,2248.334688,10.13432,704.7222928,5.40E-05,18.47630346
191,0.77145,2280.431234,9.61373,713.1838582,3.29E-05,15.42387984
192,0.09298,0,3.26961,2139.551574,7.28E-157,#NAME?
193,1.40E-06,0,2.01768,2852.735433,0,#NAME?
194,0.76183,2260.689951,10.24757,704.7222948,4.79E-05,17.61870143
195,0.75949,2291.724843,9.61221,731.9505367,3.08E-05,16.12276301
196,0.11087,0,3.24068,2195.85161,7.35E-109,-692.3239694
197,0.73461,2267.919804,9.35605,781.2563031,0.000187014,22.93606121
198,0.76753,2267.568927,10.17289,686.8922669,6.84E-05,18.50426249
199,0.72706,2235.40693,9.06634,844.1656914,0.000529634,27.06077532
200,0.73891,2286.78652,9.31825,781.2563017,0.00021045,23.81181531
201,0.74486,2282.126713,9.3998,781.2563017,0.000244107,24.20030248
202,0.30113,65.283073,4.30143,1562.512603,2.76E-08,35.43461975
203,0.74512,2263.151115,10.0012,799.5308613,9.30E-05,19.70217709
204,0.75802,2307.300682,9.44368,776.7195756,4.69E-05,17.0872706
205,0.7053,2256.372605,8.88857,1015.670701,0.000308511,26.77595776
206,0.25376,64.067448,4.31042,2031.341403,4.66E-08,33.70378957
207,0.72905,2282.23908,9.64426,871.5774865,0.000109219,21.29109009
208,0.28933,65.625467,4.34337,1743.154973,9.81E-08,33.85309777
209,0.74134,2276.451549,9.65874,871.5774535,0.000148621,22.66370293
210,0.28808,64.833308,4.30143,1743.154907,1.57E-07,31.91667646
211,0.77441,2311.219911,9.38599,709.0484468,7.71E-05,18.40999797
212,0.71785,2302.398651,9.54152,723.9524145,0.000144773,21.62955755
213,0.73885,2347.676005,8.66767,746.5956877,0.000120136,21.09806423
214,0.71116,2301.299323,8.49135,746.790648,0.000355564,26.64882823
215,0.71337,2276.543264,8.80817,746.7906906,0.000362963,26.57559689
216,0.83364,2063.63049,13.25234,507.6664923,3.53E-05,17.40538988
217,0.79837,2314.966558,9.61447,620.2104495,3.11E-05,14.39564379
218,0.83894,2071.794033,13.13191,507.6665472,0.000036793,17.52306579
219,0.83167,2048.251531,13.6746,507.6664937,2.77E-05,16.580616
220,0.80265,2316.024627,9.40737,620.2088713,3.50E-05,15.38609055
221,0.79232,2427.70065,8.63453,685.5312846,0.000120244,19.9132511
222,0.80615,2406.298473,9.4803,685.532052,0.000150379,20.14454058
223,0.82719,2153.753734,12.44347,601.5025395,0.000222656,23.45725931
224,0.82618,2118.450429,12.51165,548.8256571,0.00010108,20.7377037
225,0.83713,2158.860671,12.50366,566.384443,0.000139968,20.65677657
226,0.7955,2103.483679,12.72193,805.4410125,0.000145481,23.4324255
227,0.52675,1157.545546,6.52968,1610.882025,37.1207,64.07048226
228,0.82751,2103.29798,12.87097,644.5653739,9.35E-05,21.21239669
229,0.83933,2117.818897,12.16703,644.5653739,0.00013239,22.8824545
230,0.83811,2168.815836,12.13712,604.346471,0.000110729,21.88155853
231,0.80621,2400.660429,9.42645,701.1294374,7.57E-05,18.47456726
232,0.78431,2231.478555,11.66234,558.2128563,0.000337942,25.06477621
233,0.81469,2385.36394,9.90422,553.5725151,3.01E-05,14.95570703
234,0.69234,2186.102023,8.68228,769.0904653,0.00403001,32.63917334
235,0.6693,2124.225402,8.69094,827.5168349,0.00471437,34.81447729
236,0.85862,1885.033266,17.30559,396.2306132,2.82E-05,18.09154179
237,0.85475,1909.411032,16.90272,413.7585974,2.76E-05,18.09675322
238,0.68036,2152.936456,8.24046,827.5171948,0.00425499,33.19556087
239,0.85277,1999.620595,16.01922,477.3895284,0.000202737,24.77325873
240,0.61164,1863.785824,7.90572,954.7790568,0.0226574,38.93489599
241,0.83645,1999.506517,16.19319,522.1370034,0.000176528,24.76160305
242,0.63885,1961.098027,7.98513,1044.274007,0.223347,48.77693018
243,0.80632,2467.214818,9.61625,615.9486473,0.000135165,21.96795811
244,0.84519,1941.589535,16.72874,488.5769564,0.000152129,24.1739756
245,0.70143,2122.894443,8.45179,977.1539128,0.199211,46.23033184
246,0.79019,2397.816523,9.48937,658.8054731,0.000113284,19.72040222
247,0.4881,1114.939568,5.47208,1317.610946,36.7785,68.17220775
248,0.83982,2013.198077,15.58443,665.0638889,0.00014177,25.68022873
249,0.64281,1997.556837,7.54328,1330.127778,0.0872721,48.40274748
250,0.84594,2075.477603,15.71853,613.8169905,0.000102449,21.78705936
251,0.63843,1926.424621,7.90796,1227.633981,0.0268582,39.77956827
252,0.84724,1928.941432,15.63957,588.1939378,9.90E-05,24.67390944
253,0.67492,2067.819175,8.25906,1176.387876,0.0789935,46.07553382
254,0.84407,2004.984198,15.67888,639.4615513,0.000198423,26.41253038
255,0.67719,2021.234081,7.54493,1278.923103,0.155164,48.30192673
256,0.85052,1899.321061,16.06557,562.5707377,0.000105633,23.23658248
257,0.67694,2040.011132,8.2873,1125.141475,0.0652335,43.42907511
258,0.08916,0,2.88534,2164.735197,1.79E-151,#NAME?
259,0.70545,2282.047047,9.14437,801.5606513,0.000234159,25.22056565
260,0.67053,2107.779257,8.99752,891.7193106,0.00165654,31.89718385
261,0.72035,2387.33479,8.31588,829.3744734,0.000193813,25.22155463
262,0.66348,2140.611496,8.18159,923.1739854,0.00329907,35.60705452
263,0.65829,1991.770784,8.74219,954.6286645,0.00321644,34.20221226
264,0.66276,2129.063788,8.26352,923.174009,0.00330168,35.34506799
265,0.63323,1953.053626,8.01637,1351.410865,0.007356,39.58572038
266,0.70482,2232.627623,8.87777,919.1311044,0.000851993,29.01752618
267,0.67024,2204.064993,8.0842,1135.270966,0.00246307,34.02993096
268,0.73962,2384.770461,8.86667,803.8809413,0.00011032,21.1034387
269,0.06024,0,2.88535,2411.642824,0,#NAME?
270,0.68988,2183.852213,8.32651,991.1779144,0.000973769,30.09476642
271,0.77642,2172.321983,11.37085,731.2121624,1.29E-05,12.00703704
272,0.06948,0,3.1668,2193.636487,0,#NAME?
273,0.02173,0,2.47943,2924.848649,0,#NAME?
274,0.82046,2132.169911,11.48297,508.3332305,1.59E-05,15.43513715
275,0.29995,43.135135,4.11904,1524.999691,4.12E-12,12.65517362
276,0.81107,2164.641226,11.4649,528.4803666,1.64E-05,16.77113197
277,0.24768,66.203777,4.39303,1585.4411,3.98E-13,3.188250277
278,0.80669,2153.354208,11.457,538.553919,0.000021323,17.64677142
279,0.81763,2127.319925,11.70551,515.8281073,3.45E-05,19.15922139
280,0.22299,37.868018,4.14475,1547.484322,5.08E-19,-26.24114507
281,0.79552,2220.33194,10.50478,592.9786544,9.59E-05,23.6931412
282,0.79224,2101.565222,11.23842,592.9783531,9.44E-05,23.12538683
283,0.50571,1061.803737,5.8755,1185.956706,0.691287,58.38721561
284,0.82113,2156.047318,11.11096,515.8281643,2.82E-05,17.22883971
285,0.79042,2084.834207,11.02636,723.0331082,8.23E-05,22.67447305
286,0.5011,1108.162889,5.83411,1446.066216,0.998845,57.54946837
287,0.78892,2155.258643,10.95345,767.2110391,0.000136457,25.7963094
288,0.27086,3.670871,3.90215,2301.633117,1.26E-23,-52.69360096
289,0.78974,2177.589049,10.68693,678.8551794,4.20E-05,21.29324967
290,0.51842,1168.81754,5.85046,1357.710359,0.289066,55.09061002
291,0.80105,2286.972839,11.14634,678.8555138,3.99E-05,18.91226799
292,0.78763,2155.650086,10.90741,723.0330729,8.13E-05,23.54493878
293,0.52211,1058.358167,5.70407,1446.066146,1.67665,58.45261572
294,0.77585,2113.375771,11.3025,541.9900602,0.000109454,23.39922027
295,0.79196,2075.700675,11.92972,513.9819079,5.77E-05,20.08942797
296,0.48881,1289.473127,5.77807,1004.421984,3.13162,55.64038777
297,0.87691,1679.992275,17.10125,359.4589255,8.28E-06,16.3042388
298,0.76493,2826.676643,8.31498,668.1052312,0.000325286,22.43539346
299,0.48071,1072.915546,5.63804,1336.210462,123.05,69.41699673
300,0.5337,1262.453299,6.49487,1009.876736,0.925463,55.72404579
301,0.49829,977.87042,5.42274,1346.502314,2614.82,80.0288645
302,0.49353,1008.844189,5.99893,1232.683848,104.645,72.54744197
303,0.88032,1716.67552,16.11914,410.8946161,0.000039075,20.93776355
304,0.862,1694.01712,16.03595,459.1137159,7.71E-05,23.91265026
305,0.85948,1742.101251,16.26111,525.1796465,1.96E-05,19.19500083
306,0.69288,2128.781905,8.13683,1050.359293,0.0145904,37.7404844
307,0.48409,953.566621,5.97276,1575.53894,29.7795,65.45718987
308,0.86051,1762.296545,16.06169,574.5032344,3.25E-05,21.24138441
309,0.69916,2162.926001,7.24204,1149.006469,0.0281606,40.78138599
310,0.47131,938.992324,5.57698,1723.509703,298.34,78.84063125
311,0.85513,1772.616419,15.99626,574.5029301,3.38E-05,21.83483855
312,0.67921,1997.440242,8.13683,1149.00586,0.025625,40.57183538
313,0.86659,1720.124727,15.83963,525.1795603,2.51E-05,20.26175008
314,0.71743,2300.584852,8.00145,1050.359121,0.0230032,40.73458925
315,0.50355,1021.529728,6.02745,1575.538681,190.799,74.95718044
316,0.8657,1798.834436,16.34909,553.5105475,2.59E-05,21.92102999
317,0.70619,2210.955884,8.50823,1107.021095,0.00458068,34.51248759
318,0.4674,978.33916,6.12803,1660.531642,0.885722,55.85396267
319,0.79101,2767.129511,9.26153,575.9582949,6.84E-05,18.44307192
320,0.80449,2565.586428,11.25251,525.6714073,5.18E-05,15.62548582
321,0.49497,1218.079024,6.92009,1080.2638,0.698832,50.53132822
322,0.78674,2735.029227,10.04986,611.6132421,0.000362744,24.83901796
323,0.89117,1531.788786,19.94196,319.5257839,2.93E-05,20.89153094
324,0.78165,2688.265567,8.61639,639.0515678,0.000466906,24.97109808
325,0.79452,2488.32176,10.20405,584.1749065,0.000270325,21.6941764
326,0.89197,1490.878205,20.08086,326.3852974,2.47E-05,21.36801673
327,0.77594,2482.885878,10.37198,652.7705947,0.00044296,24.04556
328,0.58515,1411.017364,7.76423,979.1558921,0.0269992,42.3273247
329,0.45044,997.437869,6.84451,1305.541189,15.3052,62.16093536
330,0.88308,1572.80379,19.42203,474.8806316,2.86E-05,24.29102127
331,0.75546,2489.363738,9.02153,949.7612633,0.00045467,26.37335026
332,0.61749,1557.451799,7.22326,1424.641895,1.86531,60.71470957
333,0.88461,1491.828209,19.57404,427.7452014,1.58E-05,19.49860287
334,0.77498,2716.792509,9.9726,855.4904028,0.00127529,31.90148847
335,0.5893,1585.518072,7.27771,1283.235604,0.132925,50.45048586
336,0.88038,1511.664687,19.73546,459.1688437,0.000016547,19.73281404
337,0.75271,2460.376288,10.38424,918.3376874,0.000578291,27.34621559
338,0.61066,1665.205503,6.77261,1377.506531,0.475249,50.54581193
339,0.88406,1527.00082,19.55484,459.1688136,1.69E-05,19.51449487
340,0.76456,2668.242511,9.07864,918.3376272,0.000399948,25.26501556
341,0.59881,1475.278983,7.15645,1377.506441,0.439849,51.08991986
342,0.45967,697.375654,5.81009,1836.675254,3.31624,65.56114234
343,0.88373,1604.194191,17.93808,422.6928929,9.24E-06,17.02843671
344,0.75838,2688.170997,9.46232,845.3857859,0.000539969,27.3860107
345,0.5727,1482.313303,6.56232,1268.078679,0.0417612,44.34292403
346,0.45359,879.030147,5.85708,1690.771572,0.322104,61.4820577
347,0.77501,2132.596775,10.99723,587.8602472,7.77E-05,23.51521464
348,0.17439,33.334915,4.24093,1672.918585,2.82E-28,-84.94691463
349,0.78717,2155.305816,11.13471,583.5624528,0.000141667,25.64269766
350,0.77579,2124.551143,11.18449,622.1374443,0.000646517,32.78492962
351,0.83637,1982.777649,14.43809,457.9320813,3.00E-05,20.58941163
352,0.19198,2.954364,4.01726,1831.728325,1.62E-55,-242.5971785
353,0.84573,1917.308215,14.9656,430.9112525,2.20E-05,18.81293338
354,0.76474,2185.132513,10.3459,622.1375666,0.000384836,30.32686153
355,0.74654,2050.265677,10.92606,928.9039936,0.00145368,36.24788332
356,0.76228,2099.826719,11.25562,796.3698905,0.000345526,30.41609449
357,0.75122,2077.887896,11.06083,840.5481562,0.000199564,28.25161917
358,0.75422,2062.092661,11.99961,796.3698896,0.000506919,33.0409572
359,0.84058,1958.753947,14.89761,504.5755579,2.18E-05,19.90955201
360,0.8295,2254.5601,10.60083,521.5260461,9.57E-06,10.98781016
361,0.01624,0,2.70591,2086.104184,0,#NAME?
362,0.81838,2312.30747,10.14847,547.8173415,9.01E-06,10.61623852
363,0.82112,2319.359384,10.12758,547.8173415,9.15E-06,11.12502975
364,0.54774,1555.033404,5.8347,1095.634683,0.024424,46.51651502
365,0.82763,2251.985022,10.60129,521.525726,1.00E-05,10.95995608
366,0.85953,2022.45325,14.3469,396.8939974,5.85E-06,11.22923629
367,0.70373,2410.361558,7.33963,793.7879949,0.00176985,29.03845353
368,0.82877,2249.868053,10.59775,521.5263056,9.37E-06,10.52521377
369,0.81369,2397.467193,9.79747,571.8652472,1.46E-05,12.66293181
370,0.54417,1455.856852,5.8347,1143.730494,0.0912877,49.96902379
371,0.86171,2086.782986,13.5908,410.9518356,8.30E-06,11.56428172
372,0.69566,2378.018586,7.32463,821.9036713,0.00436185,32.76991254
373,0.8221,2335.346841,10.60218,546.6956487,1.09E-05,11.51691553
374,0.80829,2452.84872,9.81141,597.0347542,1.72E-05,12.93337896
375,0.51677,1343.691959,5.83311,1194.069508,0.121307,51.67876789
376,0.84926,2165.750124,13.28613,506.0533844,9.31E-06,13.06328058
377,0.69368,2358.158065,7.31218,1012.106769,0.00648523,35.12305077
378,0.81778,2358.93645,10.60208,579.1767604,1.10E-05,12.16608051
379,0.84584,2221.409275,13.21962,541.4039623,9.40E-06,13.27925088
380,0.67702,2300.912603,7.32327,1082.807925,0.00757283,36.48094468
381,0.81129,2465.533195,10.60208,636.8274747,1.27E-05,12.54767235
382,0.81832,2343.028501,10.59777,579.1766726,1.16E-05,11.76342023
383,0.54006,1504.030275,5.83359,1158.353345,0.0410867,48.1624874
384,0.00926,0,2.71374,2316.70669,0,#NAME?
385,0.82574,2348.451007,10.60208,531.7755105,0.000014353,11.86365388
386,0.82571,2335.434498,10.59996,531.7755105,1.40E-05,11.8446333
387,0.8273,2252.448809,10.60025,521.5260418,9.77E-06,10.87217088
388,0.01743,0,2.71365,2086.104167,0,#NAME?
389,0.82691,2251.801155,10.60208,521.5260461,9.30E-06,10.2366644
